# Rank    Emoji    Category    Subcategory    Name
# 267    😨    Smileys & Emotion    face-concerned    fearful face
# 268    🍫    Food & Drink    food-sweet    chocolate bar
# 269    🧢    Objects    clothing    billed cap
270    🤕    Smileys & Emotion    face-unwell    face with head-bandage
# 271    ☘️    Animals & Nature    plant-other    shamrock
# 272    🚫    Symbols    warning    prohibited
# 273    🎼    Objects    music    musical score
# 274    🐻    Animals & Nature    animal-mammal    bear
# 275    📲    Objects    phone    mobile phone with arrow
276    👻    Smileys & Emotion    face-costume    ghost
# 277    🗣️    People & Body    person-symbol    speaking head
# 278    👿    Smileys & Emotion    face-negative    angry face with horns
# 279    🧚    People & Body    person-fantasy    fairy
# 280    🌮    Food & Drink    food-prepared    taco
# 281    🍭    Food & Drink    food-sweet    lollipop
# 282    🐟    Animals & Nature    animal-marine    fish
# 283    🐸    Animals & Nature    animal-amphibian    frog
# 284    🐝    Animals & Nature    animal-bug    honeybee
# 285    🐈    Animals & Nature    animal-mammal    cat
# 286    🔵    Symbols    geometric    blue circle
# 287    🌧️    Travel & Places    sky & weather    cloud with rain
# 288    🔪    Food & Drink    dishware    kitchen knife
289    😧    Smileys & Emotion    face-concerned    anguished face
# 290    🌄    Travel & Places    place-other    sunrise over mountains
# 291    😾    Smileys & Emotion    cat-face    pouting cat
# 292    ✈️    Travel & Places    transport-air    airplane
# 293    🤸    People & Body    person-sport    person cartwheeling
# 294    📱    Objects    phone    mobile phone
# 295    🍇    Food & Drink    food-fruit    grapes
# 296    🌴    Animals & Nature    plant-other    palm tree
# 297    🐢    Animals & Nature    animal-reptile    turtle
# 298    🌃    Travel & Places    place-other    night with stars
# 299    👽    Smileys & Emotion    face-costume    alien
# 300    🍌    Food & Drink    food-fruit    banana
# 301    📺    Objects    light & video    television
# 302    👐    People & Body    hands    open hands
# 303    ⏰    Travel & Places    time    alarm clock
# 304    🔔    Objects    sound    bell
# 305    🌅    Travel & Places    place-other    sunrise
# 306    🦄    Animals & Nature    animal-mammal    unicorn
# 307    ⭕    Symbols    other-symbol    hollow red circle
# 308    🎥    Objects    light & video    movie camera
# 309    ▶️    Symbols    av-symbol    play button
# 310    🍋    Food & Drink    food-fruit    lemon
# 311    🥚    Food & Drink    food-prepared    egg
# 312    💲    Symbols    currency    heavy dollar sign
# 313    📚    Objects    book-paper    books
# 314    🐔    Animals & Nature    animal-bird    chicken
# 315    🎸    Objects    musical-instrument    guitar
# 316    🥃    Food & Drink    drink    tumbler glass
# 317    😿    Smileys & Emotion    cat-face    crying cat
# 318    🚗    Travel & Places    transport-ground    automobile
# 319    🌎    Travel & Places    place-map    globe showing Americas
# 320    🕊️    Animals & Nature    animal-bird    dove
# 321    🔊    Objects    sound    speaker high volume
# 322    🦅    Animals & Nature    animal-bird    eagle
# 323    🚿    Objects    household    shower
# 324    🦆    Animals & Nature    animal-bird    duck
# 325    🍉    Food & Drink    food-fruit    watermelon
# 326    🍬    Food & Drink    food-sweet    candy
# 327    🧸    Activities    game    teddy bear
# 328    ✍️    People & Body    hand-prop    writing hand
# 329    🍨    Food & Drink    food-sweet    ice cream
# 330    📝    Objects    writing    memo
# 331    🤚    People & Body    hand-fingers-open    raised back of hand
# 332    📩    Objects    mail    envelope with arrow
# 333    💵    Objects    money    dollar banknote
# 334    👼    People & Body    person-fantasy    baby angel
# 335    💭    Smileys & Emotion    emotion    thought balloon
# 336    🌍    Travel & Places    place-map    globe showing Europe-Africa
# 337    ⬅️    Symbols    arrow    left arrow
# 338    ⚫    Symbols    geometric    black circle
# 339    👧    People & Body    person    girl
# 340    🏵️    Animals & Nature    plant-flower    rosette
341    🤜    People & Body    hand-fingers-closed    right-facing fist
# 342    🍿    Food & Drink    food-prepared    popcorn
# 343    🧿    Activities    game    nazar amulet
# 344    🏀    Activities    sport    basketball
# 345    🍏    Food & Drink    food-fruit    green apple
# 346    🌳    Animals & Nature    plant-other    deciduous tree
347    🙉    Smileys & Emotion    monkey-face    hear-no-evil monkey
348    😦    Smileys & Emotion    face-concerned    frowning face with open mouth
# 349    ⚾    Activities    sport    baseball
# 350    🤰    People & Body    person-role    pregnant woman
# 351    🍹    Food & Drink    drink    tropical drink
# 352    🍦    Food & Drink    food-sweet    soft ice cream
# 353    🛑    Travel & Places    transport-ground    stop sign
# 354    🧘    People & Body    person-resting    person in lotus position
# 355    🍔    Food & Drink    food-prepared    hamburger
# 356    🏖️    Travel & Places    place-geographic    beach with umbrella
# 357    🍂    Animals & Nature    plant-other    fallen leaf
# 358    🐒    Animals & Nature    animal-mammal    monkey
# 359    🍪    Food & Drink    food-sweet    cookie
# 360    🙀    Smileys & Emotion    cat-face    weary cat
# 361    🍗    Food & Drink    food-prepared    poultry leg
# 362    🌠    Travel & Places    sky & weather    shooting star
# 363    🎬    Objects    light & video    clapper board
# 364    🌵    Animals & Nature    plant-other    cactus
# 365    🍄    Food & Drink    food-vegetable    mushroom
# 366    🐐    Animals & Nature    animal-mammal    goat
# 367    🍩    Food & Drink    food-sweet    doughnut
# 368    🦁    Animals & Nature    animal-mammal    lion
# 369    🙆    People & Body    person-gesture    person gesturing OK
# 370    📞    Objects    phone    telephone receiver
# 371    👸    People & Body    person-role    princess
# 372    🍅    Food & Drink    food-fruit    tomato
# 373    🐍    Animals & Nature    animal-reptile    snake
# 374    👦    People & Body    person    boy
# 375    💬    Smileys & Emotion    emotion    speech balloon
# 376    🥤    Food & Drink    drink    cup with straw
# 377    🏳️‍🌈    Flags    flag    rainbow flag
# 378    😼    Smileys & Emotion    cat-face    cat with wry smile
# 379    🌾    Animals & Nature    plant-other    sheaf of rice
# 380    🧀    Food & Drink    food-prepared    cheese wedge
# 381    ☁️    Travel & Places    sky & weather    cloud
# 382    🎮    Activities    game    video game
# 383    🧠    People & Body    body-parts    brain
# 384    ☔    Travel & Places    sky & weather    umbrella with rain drops
# 385    🌏    Travel & Places    place-map    globe showing Asia-Australia
# 386    🛌    People & Body    person-resting    person in bed
# 387    🔝    Symbols    arrow    TOP arrow
# 388    🌉    Travel & Places    place-other    bridge at night
389    🤛    People & Body    hand-fingers-closed    left-facing fist
390    🤒    Smileys & Emotion    face-unwell    face with thermometer
# 391    👗    Objects    clothing    dress
# 392    ⚪    Symbols    geometric    white circle
# 393    🌲    Animals & Nature    plant-other    evergreen tree
# 394    ☑️    Symbols    other-symbol    check box with check
# 395    🍜    Food & Drink    food-asian    steaming bowl
# 396    🐦    Animals & Nature    animal-bird    bird
# 397    🍯    Food & Drink    food-sweet    honey pot
# 398    👮    People & Body    person-role    police officer
# 399    🏅    Activities    award-medal    sports medal
# 400    🐼    Animals & Nature    animal-mammal    panda
# 401    💄    Objects    clothing    lipstick
# 402    👺    Smileys & Emotion    face-costume    goblin
# 403    🔞    Symbols    warning    no one under eighteen
# 404    🎆    Activities    event    fireworks
# 405    🎨    Activities    arts & crafts    artist palette
# 406    🇧🇷    Flags    country-flag    flag: Brazil
# 407    🍞    Food & Drink    food-prepared    bread
# 408    🎇    Activities    event    sparkler
# 409    🦜    Animals & Nature    animal-bird    parrot
# 410    🐑    Animals & Nature    animal-mammal    ewe
# 411    🐙    Animals & Nature    animal-marine    octopus
# 412    🦍    Animals & Nature    animal-mammal    gorilla
# 413    🇺🇲    Flags    country-flag    flag: U.S. Outlying Islands
# 414    🔗    Objects    tool    link
# 415    📖    Objects    book-paper    open book
